Stock Added,Stock Removed,Announcement Date,Add Date,Remove Date,Reason,GICS Added,GICS Removed
CSRA,CSC,9/23/2015,9/27/2015,11/30/2015,Spin Off,Information Technolgy,Information Technolgy
ILMN,SIAL,11/12/2015,11/18/2015,11/18/2015,Merger,Health Care,Materials
SYF,GNW,11/9/2015,11/17/2015,11/17/2015,Spin off ,Financials,Financials
HPE,HCBK,10/27/2015,10/30/2015,11/3/2015,"Spin Off, Merger",Information Technolgy,Financials
VRSK,JOY,9/30/2015,10/7/2015,10/7/2015,Market Cap,Industrials,Industrials
ATVI,PLL ,8/27/2015,8/28/2015,8/28/2015,Merger,Information Technolgy,Industrials
UAL,HSP,8/27/2015,9/2/2015,9/2/2015,Merger,Information Technolgy,Industrials
SIG,DTV,7/24/2015,7/28/2015,7/28/2015,Merger,Consumer Discretionary,Consumer Discretionary
PYPLV,NE,7/14/2015,7/17/2015,7/17/2015,Spin Off,Information Technolgy,Information Technolgy
AAP,FOD,7/6/2015,7/8/2015,7/8/2015,Merger,Consumer Discretionary,Consumer Discretionary
CPGX,ATI,6/23/2015,7/1/2015,7/1/2015,Spin Off,Energy,Materials
JBHT ,TEG,6/26/2015,6/30/2015,6/30/2015,Merger,Industrials,Utilities
BKLT,QEP,6/19/2015,6/25/2015,6/25/2015,Market Cap,Health Care,Materials
QRVO,LO,6/9/2015,6/11/2015,6/11/2015,Merger,Information Technolgy,Consumer Staples
O,WIN,3/27/2015,4/6/2015,4/6/2015,Spin Off,Financials,Telecommunication Services
AAL,AGN,3/16/2015,3/20/2015,3/20/2015,Merger,Industrials,Health Care
HSIC,CFN,3/13/2015,3/17/2015,3/17/2015,Merger,Health Care,Health Care
EQI,DNR,3/13/2015,3/20/2015,3/20/2015,Market Cap,Information Technolgy,Energy
SLG,NBR,3/13/2015,3/20/2015,3/20/2015,Market Cap,Financials,Energy
HBI,AVP,3/13/2015,3/20/2015,3/20/2015,Market Cap,Consumer Discretionary,Consumer Staples
SWKS,PET,3/9/2015,3/11/2015,3/11/2015,Merger,Information Technolgy,Consumer Discretionary
HCA,SWY,1/23/2015,1/26/2015,1/26/2015,Merger,Health Care,Consumer Staples
ENDP,COV,1/21/2015,1/21/2015,1/21/2015,Merger,Health Care,Health Care
RCL,BMS,12/1/2014,12/3/2015,12/3/2015,Market Cap,Consumer Discretionary,Materials
LVLT,JBL,10/29/2014,11/4/2014,11/4/2014,Meger,Telecommunication Services,Information Technolgy
URI,GHC,9/12/2014,9/19/2014,9/19/2014,Market Cap,Industrials,Consumer Discretionary
UHS,BTU,9/12/2014,9/19/2014,9/19/2014,Market Cap,Health Care,Energy
MNK,RDC,8/14/2014,8/18/2014,8/18/2014,Merger,Health Care,Energy
MLM,X,6/27/2014,7/1/2014,7/1/2014,Merger,Materials,Materials
